campaign_id,hcp_id,start_date,end_date,reach,engagement_rate,conversion_rate,downloads,impressions,clicks,conversions,roi,month_key,quarter_key,year_key,engaged_interactions,total_interactions,engagement_date,engagement_type,time_spent_minutes
CMP000080,HCP000076,2025-02-16,2025-04-03,0.84,0.11,0.18,60,8242,6231,375,1.13,2,Q1,2025,38,49,2025-03-30,conversion,18.9
CMP000295,HCP000333,2025-11-23,2025-12-11,0.43,0.34,0.17,82,3137,4952,307,0.62,11,Q4,2025,56,77,2025-12-05,conversion,23.8
CMP000270,HCP000498,2024-04-08,2025-02-22,0.64,0.34,0.22,73,1448,167,848,2.95,4,Q2,2024,83,122,2024-04-28,conversion,19.3
CMP000221,HCP000242,2023-08-23,2024-03-23,0.6,0.16,0.19,27,1367,6301,290,1.21,8,Q3,2023,48,97,2023-11-08,click,21.6
CMP000161,HCP000103,2024-06-16,2025-04-29,0.55,0.09,0.06,15,9628,2465,825,2.18,6,Q2,2024,15,63,2025-01-23,conversion,28.8
CMP000316,HCP000240,2024-12-11,2025-02-04,0.59,0.07,0.04,40,3334,7790,346,0.74,12,Q4,2024,75,113,2025-01-10,conversion,7.8
CMP000280,HCP000297,2023-10-08,2024-02-10,0.86,0.07,0.24,78,6766,3823,863,0.64,10,Q4,2023,48,84,2024-01-10,conversion,20.8
CMP000352,HCP000254,2024-05-31,2025-10-03,0.53,0.34,0.09,86,8085,4279,126,2.28,5,Q2,2024,91,124,2024-10-15,click,17.4
CMP000102,HCP000145,2024-05-01,2025-09-05,0.64,0.3,0.3,10,8038,8202,915,0.61,5,Q2,2024,99,111,2024-06-15,view,14.1
CMP000291,HCP000111,2023-01-08,2024-12-10,0.7,0.07,0.26,6,3934,6017,164,2.86,1,Q1,2023,39,73,2023-08-08,conversion,16.8
CMP000211,HCP000478,2023-11-22,2025-07-05,0.2,0.29,0.14,90,9218,2374,805,1.07,11,Q4,2023,56,103,2024-03-31,view,19.0
CMP000018,HCP000205,2025-06-14,2025-08-14,0.26,0.4,0.23,80,6720,1255,750,1.3,6,Q2,2025,33,36,2025-07-31,view,18.1
CMP000336,HCP000450,2023-05-17,2023-12-04,0.67,0.36,0.29,60,6782,8026,184,1.21,5,Q2,2023,46,61,2023-11-01,conversion,23.9
CMP000305,HCP000344,2025-09-11,2025-12-03,0.53,0.27,0.3,15,1820,7802,854,2.42,9,Q3,2025,94,94,2025-10-20,view,21.6
CMP000058,HCP000431,2024-10-28,2025-11-02,0.81,0.16,0.02,3,8389,3500,381,1.71,10,Q4,2024,88,119,2025-03-25,conversion,27.5
CMP000020,HCP000081,2023-01-08,2023-03-07,0.13,0.31,0.2,3,2883,4921,760,0.77,1,Q1,2023,46,61,2023-02-28,view,27.7
CMP000053,HCP000369,2023-11-06,2025-06-07,0.14,0.19,0.13,6,7704,1987,721,2.17,11,Q4,2023,47,90,2023-11-16,conversion,27.2
CMP000022,HCP000047,2024-05-15,2025-12-23,0.69,0.4,0.24,47,2050,4138,36,0.54,5,Q2,2024,55,71,2025-07-01,conversion,25.8
CMP000121,HCP000289,2023-10-24,2023-11-20,0.65,0.19,0.13,34,5422,1514,306,1.15,10,Q4,2023,55,61,2023-10-24,view,28.1
CMP000334,HCP000424,2025-08-31,2025-10-18,0.76,0.24,0.07,91,8469,2045,356,2.92,8,Q3,2025,42,79,2025-09-10,view,29.4
CMP000250,HCP000032,2025-12-13,2025-12-21,0.48,0.39,0.12,7,4868,4485,272,2.84,12,Q4,2025,58,78,2025-12-16,conversion,11.1
CMP000303,HCP000333,2023-07-20,2023-12-26,0.15,0.15,0.21,30,5797,6900,368,2.47,7,Q3,2023,81,120,2023-10-02,view,17.5
CMP000222,HCP000287,2025-02-20,2025-10-06,0.11,0.17,0.19,85,8694,3419,491,1.65,2,Q1,2025,27,28,2025-06-18,view,29.9
CMP000347,HCP000324,2023-09-17,2023-12-27,0.77,0.11,0.23,50,5987,9778,471,2.77,9,Q3,2023,37,66,2023-09-25,click,3.1
CMP000183,HCP000455,2024-04-08,2024-11-19,0.68,0.29,0.11,91,9863,604,309,2.34,4,Q2,2024,37,63,2024-10-02,conversion,22.4
CMP000036,HCP000049,2025-03-19,2025-11-05,0.68,0.3,0.17,41,7900,2260,886,2.23,3,Q1,2025,86,99,2025-10-08,conversion,27.1
CMP000196,HCP000402,2024-06-08,2025-05-10,0.79,0.36,0.14,60,9497,2614,941,2.7,6,Q2,2024,73,80,2025-03-01,click,24.4
CMP000264,HCP000216,2023-07-27,2025-01-09,0.56,0.06,0.04,57,1651,1150,55,2.2,7,Q3,2023,58,70,2024-08-10,click,21.5
CMP000049,HCP000291,2024-07-12,2024-12-05,0.32,0.1,0.09,10,3721,4921,525,1.75,7,Q3,2024,29,74,2024-08-13,conversion,3.3
CMP000059,HCP000445,2024-09-18,2024-10-02,0.16,0.36,0.27,9,1531,9844,21,1.64,9,Q3,2024,67,71,2024-09-23,click,23.3
CMP000233,HCP000401,2023-12-15,2025-07-01,0.45,0.18,0.2,88,6280,8994,536,0.5,12,Q4,2023,28,37,2024-03-25,click,13.6
CMP000263,HCP000389,2023-11-25,2025-06-17,0.67,0.36,0.16,57,6191,3141,177,1.22,11,Q4,2023,36,82,2023-12-12,conversion,24.2
CMP000315,HCP000427,2025-07-05,2025-10-10,0.49,0.17,0.24,65,2021,3592,904,0.8,7,Q3,2025,33,41,2025-07-21,click,26.1
CMP000051,HCP000327,2023-07-11,2025-01-30,0.68,0.17,0.21,39,1182,5596,714,2.67,7,Q3,2023,77,102,2025-01-13,click,12.5
CMP000087,HCP000129,2025-10-07,2025-12-22,0.88,0.1,0.11,69,1728,1387,939,0.23,10,Q4,2025,96,106,2025-10-10,conversion,19.4
CMP000370,HCP000436,2024-08-05,2025-12-15,0.9,0.13,0.09,69,3156,6079,229,2.0,8,Q3,2024,80,97,2025-02-19,click,17.0
CMP000385,HCP000008,2025-04-10,2025-12-08,0.56,0.12,0.11,78,9185,7168,423,2.0,4,Q2,2025,11,42,2025-04-28,conversion,19.1
CMP000335,HCP000038,2025-07-11,2025-07-20,0.39,0.05,0.24,56,1774,8985,168,1.36,7,Q3,2025,94,124,2025-07-19,view,20.6
CMP000400,HCP000406,2023-06-17,2023-07-17,0.78,0.05,0.07,61,2378,4684,223,0.74,6,Q2,2023,35,78,2023-06-19,conversion,22.3
CMP000232,HCP000172,2025-12-07,2025-12-09,0.59,0.15,0.28,27,4741,162,137,2.17,12,Q4,2025,62,70,2025-12-08,view,5.2
CMP000229,HCP000371,2024-11-21,2025-09-12,0.19,0.21,0.17,83,5474,4331,739,0.67,11,Q4,2024,23,32,2025-01-07,view,26.6
CMP000154,HCP000011,2025-04-30,2025-08-06,0.58,0.05,0.27,61,5071,8171,879,1.54,4,Q2,2025,35,72,2025-07-31,view,29.4
CMP000228,HCP000111,2025-12-26,2025-12-26,0.42,0.27,0.27,69,5568,9285,888,1.17,12,Q4,2025,27,68,2025-12-26,view,17.9
CMP000325,HCP000146,2025-12-15,2025-12-30,0.88,0.35,0.14,20,1794,1661,169,0.32,12,Q4,2025,12,21,2025-12-15,click,3.1
CMP000046,HCP000217,2024-04-12,2025-03-04,0.81,0.17,0.07,16,5755,3721,120,1.07,4,Q2,2024,76,109,2024-12-24,conversion,5.3
CMP000376,HCP000219,2023-06-06,2025-08-22,0.36,0.22,0.3,37,3241,7918,468,2.36,6,Q2,2023,44,88,2024-07-29,click,11.1
CMP000139,HCP000349,2025-08-25,2025-12-20,0.48,0.11,0.04,51,1924,3045,271,1.18,8,Q3,2025,88,127,2025-09-20,click,14.7
CMP000314,HCP000012,2024-10-12,2025-01-01,0.44,0.13,0.06,1,8479,4761,404,1.59,10,Q4,2024,28,74,2024-11-30,conversion,5.9
CMP000380,HCP000090,2025-08-17,2025-09-08,0.65,0.28,0.13,9,5902,5336,98,1.81,8,Q3,2025,95,128,2025-08-23,click,26.2
